"Id";"Calculo";"Algebra";"Fisica"
1;"R";"R";"R"
2;"R";"R";"R"
3;"R";"A";"A"
4;"R";"A";"A"
5;"R";"A";"A"
6;"R";"R";"R"
7;"R";"R";"R"
8;"R";"R";"R"
9;"A";"R";"R"
10;"R";"R";"A"
11;"R";"R";"R"
12;"R";"A";"A"
13;"R";"R";"A"
14;"R";"R";"R"
15;"R";"R";"R"
16;"A";"A";"R"
17;"A";"R";"R"
18;"R";"R";"A"
19;"R";"R";"R"
20;"A";"A";"R"
21;"A";"R";"A"
22;"A";"R";"R"
23;"A";"A";"R"
24;"A";"A";"R"
25;"A";"R";"R"
26;"A";"A";"A"
27;"R";"A";"A"
28;"R";"A";"A"
29;"R";"R";"R"
30;"A";"A";"R"
31;"R";"A";"R"
32;"R";"R";"A"
33;"R";"A";"R"
34;"R";"R";"A"
35;"A";"R";"R"
36;"R";"A";"A"
37;"A";"A";"A"
38;"R";"R";"A"
39;"A";"A";"A"
40;"A";"R";"A"
41;"R";"R";"A"
42;"R";"A";"A"
43;"A";"A";"R"
44;"R";"A";"A"
45;"A";"A";"A"
46;"A";"A";"A"
47;"R";"A";"R"
48;"A";"A";"R"
49;"R";"R";"A"
50;"A";"A";"A"
51;"R";"R";"A"
52;"A";"R";"R"
53;"R";"A";"R"
54;"A";"R";"A"
55;"A";"R";"A"
56;"A";"R";"A"
57;"R";"A";"A"
58;"R";"R";"R"
59;"A";"A";"R"
60;"R";"R";"A"
61;"R";"R";"R"
62;"A";"A";"A"
63;"A";"R";"A"
64;"A";"A";"A"
65;"R";"R";"A"
66;"R";"R";"R"
67;"A";"R";"R"
68;"A";"A";"R"
69;"R";"R";"R"
70;"R";"A";"A"
71;"A";"R";"A"
72;"A";"R";"A"
73;"R";"R";"A"
74;"A";"R";"A"
75;"R";"A";"R"
76;"A";"A";"A"
77;"A";"A";"A"
78;"A";"A";"A"
79;"A";"R";"A"
80;"A";"R";"A"
81;"R";"A";"R"
82;"R";"R";"A"
83;"R";"R";"R"
84;"A";"R";"R"
85;"A";"A";"A"
86;"A";"R";"A"
87;"R";"R";"A"
88;"R";"A";"R"
89;"A";"R";"A"
90;"A";"R";"R"
91;"A";"A";"A"
92;"A";"A";"R"
93;"R";"A";"R"
94;"R";"A";"R"
95;"A";"A";"R"
96;"A";"R";"R"
97;"R";"A";"A"
98;"A";"R";"R"
99;"A";"R";"A"
100;"R";"R";"R"
101;"R";"A";"A"
102;"R";"A";"R"
103;"R";"R";"R"
104;"A";"R";"R"
105;"R";"R";"R"
106;"A";"A";"R"
107;"R";"R";"R"
108;"R";"R";"R"
109;"R";"R";"R"
110;"R";"R";"R"
111;"A";"A";"R"
112;"R";"R";"A"
113;"R";"R";"A"
114;"A";"R";"R"
115;"R";"R";"A"
116;"R";"R";"A"
117;"A";"R";"R"
118;"A";"A";"R"
119;"R";"A";"R"
120;"R";"R";"R"
121;"R";"R";"A"
122;"A";"A";"R"
123;"A";"R";"A"
124;"A";"R";"A"
125;"A";"R";"A"
126;"A";"R";"R"
127;"A";"R";"A"
128;"R";"R";"R"
129;"R";"R";"A"
130;"R";"A";"A"
131;"R";"R";"A"
132;"R";"A";"R"
133;"R";"A";"A"
134;"R";"A";"A"
135;"A";"R";"R"
136;"R";"A";"A"
137;"A";"R";"R"
138;"A";"R";"R"
139;"A";"A";"A"
140;"R";"R";"R"
141;"A";"R";"A"
142;"R";"A";"R"
143;"R";"R";"R"
144;"A";"R";"R"
145;"A";"R";"R"
146;"A";"R";"R"
147;"R";"R";"R"
148;"R";"R";"R"
149;"R";"A";"A"
150;"R";"A";"R"
151;"A";"R";"R"
152;"A";"R";"A"
153;"R";"A";"R"
154;"R";"A";"A"
155;"R";"R";"R"
156;"A";"A";"A"
157;"R";"R";"R"
158;"A";"A";"R"
159;"R";"A";"A"
160;"R";"A";"A"
161;"A";"A";"A"
162;"R";"R";"R"
163;"A";"R";"R"
164;"A";"A";"R"
165;"R";"A";"R"
166;"R";"R";"A"
167;"A";"R";"R"
168;"A";"A";"A"
169;"R";"R";"A"
170;"R";"A";"A"
171;"A";"R";"A"
172;"A";"A";"A"
173;"R";"A";"A"
174;"A";"R";"A"
175;"R";"R";"A"
176;"A";"A";"A"
177;"A";"R";"A"
178;"A";"R";"R"
179;"A";"A";"R"
180;"A";"R";"A"
181;"R";"R";"A"
182;"A";"R";"A"
183;"A";"R";"A"
184;"R";"R";"A"
185;"A";"A";"R"
186;"R";"R";"A"
187;"A";"R";"R"
188;"A";"A";"R"
189;"A";"A";"A"
190;"A";"R";"R"
191;"A";"R";"A"
192;"R";"R";"A"
193;"R";"R";"R"
194;"A";"R";"A"
195;"R";"A";"R"
196;"A";"R";"A"
197;"R";"A";"A"
198;"R";"A";"A"
199;"R";"R";"R"
200;"R";"R";"R"
201;"A";"R";"R"
202;"A";"A";"R"
203;"A";"A";"A"
204;"A";"A";"A"
205;"A";"A";"A"
206;"A";"A";"R"
207;"R";"R";"A"
208;"R";"A";"A"
209;"A";"A";"R"
210;"R";"R";"R"
211;"A";"R";"R"
212;"A";"A";"R"
213;"R";"A";"R"
214;"A";"A";"A"
215;"A";"R";"A"
216;"R";"A";"A"
217;"R";"A";"A"
218;"A";"R";"A"
219;"A";"A";"A"
220;"A";"A";"R"
221;"R";"R";"A"
222;"A";"R";"A"
223;"A";"A";"R"
224;"R";"A";"A"
225;"A";"A";"A"
226;"A";"A";"A"
227;"R";"A";"A"
228;"A";"R";"A"
229;"R";"A";"A"
230;"R";"R";"A"
231;"R";"R";"R"
232;"A";"R";"A"
233;"A";"A";"A"
234;"R";"A";"A"
235;"A";"A";"A"
236;"A";"A";"A"
237;"R";"R";"R"
238;"A";"A";"A"
239;"R";"R";"R"
240;"R";"A";"A"
241;"R";"A";"A"
242;"R";"R";"R"
243;"A";"A";"A"
244;"A";"R";"R"
245;"R";"A";"R"
246;"R";"R";"A"
247;"A";"A";"A"
248;"A";"R";"A"
249;"A";"A";"A"
250;"R";"R";"A"
251;"R";"A";"A"
252;"A";"R";"A"
253;"R";"A";"A"
254;"A";"R";"R"
255;"A";"R";"A"
256;"A";"R";"R"
257;"R";"R";"R"
258;"A";"R";"R"
259;"A";"R";"R"
260;"R";"A";"R"
261;"A";"R";"R"
262;"R";"R";"A"
263;"A";"A";"A"
264;"A";"R";"A"
265;"A";"R";"A"
266;"A";"A";"A"
267;"A";"A";"A"
268;"A";"R";"A"
269;"R";"A";"A"
270;"A";"A";"R"
271;"R";"R";"A"
272;"A";"R";"R"
273;"A";"R";"R"
274;"R";"A";"A"
275;"R";"R";"A"
276;"R";"R";"A"
277;"A";"A";"R"
278;"R";"A";"R"
279;"A";"A";"R"
280;"A";"A";"A"
281;"A";"A";"A"
282;"R";"A";"R"
283;"R";"R";"R"
284;"R";"R";"R"
285;"R";"R";"A"
286;"R";"A";"R"
287;"A";"A";"A"
288;"R";"A";"A"
289;"A";"R";"R"
290;"R";"A";"A"
291;"R";"R";"A"
292;"A";"A";"R"
293;"R";"A";"R"
294;"R";"A";"R"
295;"R";"R";"R"
296;"A";"A";"A"
297;"R";"R";"A"
298;"A";"R";"R"
299;"A";"R";"A"
300;"A";"R";"A"
301;"R";"R";"R"
302;"R";"A";"R"
303;"R";"R";"A"
304;"A";"A";"R"
305;"A";"R";"A"
306;"A";"A";"R"
307;"R";"A";"A"
308;"R";"A";"A"
309;"A";"A";"R"
310;"A";"A";"R"
311;"R";"R";"R"
312;"A";"R";"R"
313;"A";"R";"A"
314;"A";"A";"A"
315;"A";"R";"R"
316;"A";"R";"A"
317;"R";"A";"R"
318;"A";"R";"A"
319;"R";"R";"R"
320;"R";"R";"R"
321;"R";"R";"R"
322;"R";"A";"A"
323;"R";"A";"A"
324;"R";"A";"A"
325;"R";"R";"A"
326;"A";"R";"A"
327;"R";"R";"R"
328;"A";"A";"A"
329;"A";"A";"R"
330;"A";"R";"R"
331;"R";"R";"R"
332;"A";"A";"R"
333;"R";"R";"R"
334;"R";"A";"R"
335;"R";"A";"R"
336;"A";"R";"A"
337;"A";"R";"A"
338;"A";"R";"R"
339;"A";"A";"R"
340;"R";"A";"A"
341;"R";"R";"R"
342;"R";"A";"R"
343;"A";"R";"R"
344;"A";"R";"R"
345;"A";"A";"R"
346;"R";"A";"R"
347;"A";"A";"A"
348;"A";"R";"R"
349;"A";"A";"A"
350;"R";"R";"A"
351;"R";"A";"R"
352;"R";"A";"R"
353;"R";"R";"R"
354;"R";"A";"R"
355;"A";"A";"R"
356;"R";"A";"A"
357;"A";"A";"A"
358;"A";"A";"R"
359;"A";"R";"R"
360;"A";"A";"R"
361;"R";"R";"R"
362;"R";"R";"R"
363;"R";"R";"R"
